company_id,abn,company_name,website_url,industry,industry_category,suburb,state,postcode,email,phone,data_quality_score,matching_confidence,has_website,digital_presence_level,compliance_status
550e8400-e29b-41d4-a716-446655440001,53004085616,Atlassian Pty Ltd,https://atlassian.com,Technology,Software Development,Sydney,NSW,2000,media@atlassian.com,+61 2 9262 1846,0.96,0.98,true,high,fully_compliant
550e8400-e29b-41d4-a716-446655440002,49122481205,Canva Pty Ltd,https://canva.com,Technology,Software Development,Sydney,NSW,2000,press@canva.com,,0.89,0.95,true,high,fully_compliant
550e8400-e29b-41d4-a716-446655440003,51824753556,Melbourne Engineering Solutions Pty Ltd,https://melbourneengineering.com.au,Manufacturing,Professional Services,Melbourne,VIC,3000,"info@melbourneengineering.com.au,sales@melbourneengineering.com.au",(03) 9876 5432,0.92,0.87,true,medium,fully_compliant
550e8400-e29b-41d4-a716-446655440004,12345678903,Sydney Digital Marketing Agency Pty Ltd,https://sydneydigital.com.au,Professional Services,Marketing & Advertising,Sydney,NSW,2000,hello@sydneydigital.com.au,(02) 8765 4321,0.86,0.82,true,high,fully_compliant
550e8400-e29b-41d4-a716-446655440005,98765432101,Brisbane Construction Co Pty Ltd,,Construction,Construction,Brisbane,QLD,4000,,(07) 3456 7890,0.64,,false,low,basic_compliant
550e8400-e29b-41d4-a716-446655440006,11223344556,Perth Mining Services Pty Ltd,https://perthmining.com.au,Mining,Mining & Resources,Perth,WA,6000,contact@perthmining.com.au,(08) 9123 4567,0.88,0.91,true,medium,fully_compliant
550e8400-e29b-41d4-a716-446655440007,22334455667,Adelaide Food Co Pty Ltd,https://adelaidefood.com.au,Manufacturing,Food & Beverage,Adelaide,SA,5000,info@adelaidefood.com.au,(08) 8234 5678,0.83,0.85,true,medium,fully_compliant
550e8400-e29b-41d4-a716-446655440008,33445566778,Gold Coast Tourism Pty Ltd,https://gctravel.com.au,Professional Services,Tourism & Hospitality,Gold Coast,QLD,4217,bookings@gctravel.com.au,(07) 5567 8901,0.79,0.76,true,high,fully_compliant
550e8400-e29b-41d4-a716-446655440009,44556677889,Hobart Logistics Ltd,https://hobartlogistics.com.au,Transport & Logistics,Transport & Storage,Hobart,TAS,7000,enquiries@hobartlogistics.com.au,(03) 6234 5678,0.81,0.88,true,medium,fully_compliant
550e8400-e29b-41d4-a716-446655440010,55667788990,Darwin Energy Solutions Pty Ltd,,Professional Services,Energy & Utilities,Darwin,NT,0800,,(08) 8945 6789,0.67,,false,low,basic_compliant
550e8400-e29b-41d4-a716-446655440011,66778899001,Canberra Consulting Group Pty Ltd,https://canberraconsulting.com.au,Professional Services,Business Consulting,Canberra,ACT,2601,admin@canberraconsulting.com.au,(02) 6123 4567,0.91,0.93,true,high,fully_compliant
550e8400-e29b-41d4-a716-446655440012,77889900112,Melbourne Fashion House Pty Ltd,https://melbournefashion.com.au,Retail Trade,Fashion & Apparel,Melbourne,VIC,3141,hello@melbournefashion.com.au,(03) 9876 5432,0.85,0.79,true,high,fully_compliant
550e8400-e29b-41d4-a716-446655440013,88990011223,Sydney Medical Centre Pty Ltd,https://sydneymedical.com.au,Healthcare,Medical Services,Sydney,NSW,2010,reception@sydneymedical.com.au,(02) 9234 5678,0.94,0.96,true,medium,fully_compliant
550e8400-e29b-41d4-a716-446655440014,99001122334,Brisbane Education Services Pty Ltd,https://brisbaneeducation.com.au,Education,Education & Training,Brisbane,QLD,4006,info@brisbaneeducation.com.au,(07) 3345 6789,0.87,0.84,true,medium,fully_compliant
550e8400-e29b-41d4-a716-446655440015,10111213334,Perth Financial Advisors Pty Ltd,https://perthfinancial.com.au,Financial Services,Financial Planning,Perth,WA,6008,contact@perthfinancial.com.au,(08) 9456 7890,0.93,0.89,true,high,fully_compliant
